1951	    0.05 	 0.02 	 -0.02 	  0.00 
1952	    0.10 	 0.00 	  0.00 	  0.00 
1953	    0.39 	 0.05 	 -0.05 	 -0.01 
1954	    1.19 	 0.14 	 -0.15 	 -0.03 
1955	    3.44 	 0.44 	 -0.45 	 -0.07 
1956	    6.10 	 0.68 	 -0.70 	 -0.12 
1957	    9.28 	 1.00 	 -1.01 	 -0.18 
1958	   10.58 	 1.10 	 -1.06 	 -0.18 
1959	   14.46 	 1.52 	 -1.53 	 -0.24 
1960	   18.05 	 1.85 	 -1.89 	 -0.28 
1961	   19.78 	 1.99 	 -2.00 	 -0.28 
1962	   27.79 	 2.91 	 -2.91 	 -0.40 
1963	   31.03 	 3.14 	 -3.18 	 -0.41 
1964	   35.73 	 3.62 	 -3.64 	 -0.43 
1965	   47.45 	 4.96 	 -4.92 	 -0.61 
1966	   68.53 	 7.29 	 -7.30 	 -0.98 
1967	   92.70 	 9.77 	 -9.74 	 -1.37 
1968	  113.07 	11.65 	-11.62 	 -1.61 
1969	  132.97 	13.53 	-13.55 	 -1.80 
1970	  139.67 	 6.27 	 -6.29 	 -1.55 
1971  	  168.44 	 4.51 	 -4.51 	 -1.56 
1972  	  211.78 	 7.08 	 -7.08 	 -2.22 
1973	  263.05 	 8.85 	 -8.85 	 -2.95 
1974	  301.96 	 8.83 	 -8.83 	 -3.29 
1975	  305.96 	 7.46 	 -7.46 	 -2.79 
1976	  378.16 	12.08 	-12.08 	 -3.84 
1977	  456.81 	14.67 	-14.67 	 -4.94 
1978	  507.74 	13.96 	-13.96 	 -5.26 
1979	  506.17 	12.15 	-12.15 	 -4.33 
1980	  533.51 	12.95 	-12.95 	 -3.99 
1981	  545.76 	12.87 	-12.87 	 -3.25 
1982	  521.10 	12.45 	-12.45 	 -1.90 
1983	  534.15 	12.59 	-12.59 	 -1.60 
1984	  582.83 	14.75 	-14.75 	 -2.17 
1985	  591.59 	14.09 	-14.09 	 -1.66 
1986	  600.81 	14.09 	-14.09 	 -1.44 
1987	  621.45 	14.66 	-14.66 	 -1.55 
1988	  663.74 	16.29 	-16.29 	 -2.26 
1989	  688.33 	16.52 	-16.52 	 -2.42 
1990	  715.08 	17.06 	-17.06 	 -2.67 
1991	  634.54 	17.49 	-17.49 	 -0.46 
1992	  594.08 	14.75 	-14.75 	  0.83 
1993	  385.80 	29.29 	-29.29 	  5.80 
1994	  290.51 	21.97 	-21.97 	  7.51 
1995	  241.86 	 9.78 	 -9.78 	  7.61 
1996	  102.88 	10.58 	-21.78 	  9.41 
1997	   48.63 	16.63 	-14.96 	  9.14 
1998	   31.89 	15.36 	 -7.70 	  7.70 
1999	   27.53 	 6.14 	 -6.14 	  6.14 
2000	   24.12 	 4.46 	 -4.46 	  4.46 
2001	   15.84 	 3.20 	 -3.20 	  3.20 
2002	   12.67 	 1.82 	 -1.82 	  1.82 
2003	   10.14 	 1.82 	 -1.82 	  1.82 
2004	   8.11 	 1.82 	 -1.82 	  1.82 
2005	   6.48 	 1.82 	 -1.82 	  1.82 
2006	   5.19 	 1.82 	 -1.82 	  1.82 
2007	   4.15 	 1.82 	 -1.82 	  1.82 
2008	   3.32 	 1.82 	 -1.82 	  1.82 
2009	   2.66 	 1.82 	 -1.82 	  1.82 
2010	   2.12 	 1.82 	 -1.82 	  1.82 
2011	   1.70 	 1.82 	 -1.82 	  1.82 
2012	   1.36 	 1.82 	 -1.82 	  1.82 
2013	   1.09 	 1.82 	 -1.82 	  1.82 
2014	   0.87 	 1.82 	 -1.82 	  1.82 
2015	   0.7 	 	1.82 	 -1.82 	  1.82 
2016	   0.55 	 1.82 	 -1.82 	  1.82 


